repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,100,0,25600.0,12800.0,71.35633619874716,1.4014172437535513,179.38140720045456,538.1442216013637,5466.451622918248,5956.129729747772,6015.514602512121,6017.022698447108,40.26074234132222,39.99869874495221,42.68538144629772,42.816742501976925,40.26074433009925,41.02213904261589,10579.56590026617,11030.638299882412,11095.316809788346,11096.543753147125
2,repeat-02.json,100,0,25600.0,12800.0,71.39452104270458,1.4006677058619816,179.28546635033365,537.856399051001,5471.729266420007,5961.2956419587135,5987.102127820253,5987.6452700048685,40.2536624752161,39.982455716593066,42.70337535523054,42.815380704215194,40.25366498846707,40.83349108695983,10583.944400772452,11037.202712148428,11073.323982581496,11073.729582354426
3,repeat-03.json,100,0,25600.0,12800.0,71.53289500623941,1.3979582399297212,178.93865471100432,536.8159641330129,5481.303727850318,5968.055814504623,6030.581622198224,6031.595407277346,40.34030326649429,40.03098278533755,42.807343863244135,42.97588332431523,40.34030489916877,40.91611094772815,10604.522242695093,11060.487385839224,11108.270594850183,11109.623174443841
