repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,100,0,25600.0,12800.0,129.99620588123798,0.7692532202928912,98.46441219749008,295.3932365924702,235.66604554653168,283.6786173284054,287.64567263424397,287.9429789632559,39.07818245664826,38.76282855516344,40.163451990508655,40.190297255483195,39.07818491651317,39.82083611190319,5198.59521754086,5204.007565975189,5215.563536435366,5215.943061485887
2,repeat-02.json,100,0,25600.0,12800.0,130.10087098926306,0.7686343622423003,98.38519836701444,295.15559510104333,239.62791502475739,285.3636145591736,288.33495900034904,288.98911260068417,39.08109687679396,38.75819743266256,40.20936331880374,40.26224412258685,39.08109910610154,39.90078158676624,5202.92721837759,5204.560626298189,5220.284086465836,5222.535772100091
3,repeat-03.json,100,0,25600.0,12800.0,129.80025895684958,0.7704144876416904,98.61305441813637,295.83916325440913,238.70561257004738,284.06259790062904,289.58347253501415,289.814530685544,38.992481244009305,38.66598218327432,40.08559798455145,40.13291277050033,38.992483707980846,39.6688986569643,5190.75073055923,5192.733712494373,5203.263941779733,5208.314035832882
