metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,129.96577860911688,129.99620588123798,129.80025895684958,130.10087098926306,0.15259837048438726,0.11741427021596186
request_throughput,req/s,3,0.7694340233922939,0.7692532202928912,0.7686343622423003,0.7704144876416904,0.000903730562697572,0.11745393824842695
output_throughput,tok/s,3,98.48755499421362,98.46441219749008,98.38519836701444,98.61305441813637,0.11567751202528921,0.11745393824842695
total_token_throughput,tok/s,3,295.4626649826409,295.3932365924702,295.15559510104333,295.83916325440913,0.3470325360758719,0.11745393824842841
mean_ttft_ms,ms,3,237.99985771377882,238.70561257004738,235.66604554653168,239.62791502475739,2.073082217010244,0.8710434690693616
p50_ttft_ms,ms,3,284.36827659606934,284.06259790062904,283.6786173284054,285.3636145591736,0.8831101378416444,0.31055156658562777
p95_ttft_ms,ms,3,288.5213680565357,288.33495900034904,287.64567263424397,289.58347253501415,0.9822567719428268,0.34044506947934394
p99_ttft_ms,ms,3,288.91554074982804,288.98911260068417,287.9429789632559,289.814530685544,0.9379424690399285,0.32464244277260695
mean_tpot_ms,ms,3,39.050586859150506,39.07818245664826,38.992481244009305,39.08109687679396,0.05034203357433502,0.12891492195984414
p50_tpot_ms,ms,3,38.72900272370011,38.75819743266256,38.66598218327432,38.76282855516344,0.05462648817719283,0.14104801140093468
p95_tpot_ms,ms,3,40.15280443128795,40.163451990508655,40.08559798455145,40.20936331880374,0.06256590428231777,0.15581951290447113
p99_tpot_ms,ms,3,40.19515138285679,40.190297255483195,40.13291277050033,40.26224412258685,0.06480217259128729,0.16121887929728104
mean_itl_ms,ms,3,39.05058924353185,39.07818491651317,38.992483707980846,39.08109910610154,0.05034196133933674,0.12891472911045798
p95_itl_ms,ms,3,39.79683878521124,39.82083611190319,39.6688986569643,39.90078158676624,0.11778933334412302,0.2959766075387231
mean_e2el_ms,ms,3,5197.424388825893,5198.59521754086,5190.75073055923,5202.92721837759,6.172102057444646,0.11875308990957603
p50_e2el_ms,ms,3,5200.4339682559175,5204.007565975189,5192.733712494373,5204.560626298189,6.674348134845218,0.1283421378982264
p95_e2el_ms,ms,3,5213.037188226978,5215.563536435366,5203.263941779733,5220.284086465836,8.786817270006626,0.1685546631021663
p99_e2el_ms,ms,3,5215.59762313962,5215.943061485887,5208.314035832882,5222.535772100091,7.117158235687609,0.13645911264533692
