repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,100,0,25600.0,12800.0,71.63256840407848,1.3960130458522884,178.6896698690929,536.0690096072788,453.7325842678547,517.508827149868,524.9268833547831,525.333615988493,39.89826258242599,39.5676028423422,42.79415539693175,42.88488360253845,39.898264883892736,40.86355306208134,5520.811932235956,5538.42094913125,5561.086044460535,5561.493570953608
2,repeat-02.json,100,0,25600.0,12800.0,71.58984854072332,1.3968460897513393,178.79629948817143,536.3888984645143,452.4074246734381,510.6080435216427,525.6910167634487,526.0692163556814,39.87748069380682,39.51021110800308,42.740083594373836,42.81039828273255,39.8774828967147,40.77017679810524,5516.847472786903,5534.245613962412,5554.009860381484,5555.156846567988
3,repeat-03.json,100,0,25600.0,12800.0,71.53823108971119,1.3978539653097777,178.92530755965154,536.7759226789547,446.12241342663765,505.2264891564846,522.5052565336227,522.7891383320093,39.910394189747294,39.56394616191781,42.73010662162868,42.863712656333696,39.910395794262094,40.876009687781334,5514.742475524545,5531.081948429346,5551.650793477893,5552.700124233961
