metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,71.586882678171,71.58984854072332,71.53823108971119,71.63256840407848,0.0472385380385326,0.06598770091847714
request_throughput,req/s,3,1.3969043669711352,1.3968460897513393,1.3960130458522884,1.3978539653097777,0.0009218423335912936,0.06599179982450022
output_throughput,tok/s,3,178.8037589723053,178.79629948817143,178.6896698690929,178.92530755965154,0.11799581869968558,0.06599179982450022
total_token_throughput,tok/s,3,536.4112769169159,536.3888984645143,536.0690096072788,536.7759226789547,0.35398745609905585,0.06599179982450007
mean_ttft_ms,ms,3,450.75414078931016,452.4074246734381,446.12241342663765,453.7325842678547,4.065548641852091,0.9019437147561102
p50_ttft_ms,ms,3,511.1144532759984,510.6080435216427,505.2264891564846,517.508827149868,6.156808814264689,1.2045851520735715
p95_ttft_ms,ms,3,524.3743855506182,524.9268833547831,522.5052565336227,525.6910167634487,1.6631919396721702,0.31717642690074177
p99_ttft_ms,ms,3,524.7306568920612,525.333615988493,522.7891383320093,526.0692163556814,1.7211617339231957,0.3280086100014629
mean_tpot_ms,ms,3,39.8953791553267,39.89826258242599,39.87748069380682,39.910394189747294,0.016645124440317176,0.041721935704663614
p50_tpot_ms,ms,3,39.54725337075436,39.56394616191781,39.51021110800308,39.5676028423422,0.03213160049286306,0.08124862728551646
p95_tpot_ms,ms,3,42.75478187097809,42.740083594373836,42.73010662162868,42.79415539693175,0.03446144085506518,0.08060254162694624
p99_tpot_ms,ms,3,42.852998180534904,42.863712656333696,42.81039828273255,42.88488360253845,0.03838118953835497,0.08956477065305744
mean_itl_ms,ms,3,39.89538119162318,39.898264883892736,39.8774828967147,39.910395794262094,0.016644863083558014,0.04172127846983182
p95_itl_ms,ms,3,40.83657984932264,40.86355306208134,40.77017679810524,40.876009687781334,0.05784302714409619,0.14164513129533213
mean_e2el_ms,ms,3,5517.467293515801,5516.847472786903,5514.742475524545,5520.811932235956,3.0818354100930234,0.055855979675943634
p50_e2el_ms,ms,3,5534.582837174336,5534.245613962412,5531.081948429346,5538.42094913125,3.681103427864166,0.06651094646445914
p95_e2el_ms,ms,3,5555.582232773304,5554.009860381484,5551.650793477893,5561.086044460535,4.910219595932623,0.08838352831799376
p99_e2el_ms,ms,3,5556.450180585186,5555.156846567988,5552.700124233961,5561.493570953608,4.537147888579896,0.08165551280263723
