metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,451.44901538391906,451.42543905973434,451.35115344822407,451.5704536437988,0.11153486558619173,0.02470597161261738
request_throughput,req/s,3,0.22150896482493768,0.22152052442655457,0.22144938667506472,0.22155698337319374,5.4721848051966033e-05,0.024704123417855186
output_throughput,tok/s,3,28.353147497592023,28.354627126598984,28.345521494408285,28.3592938717688,0.007004396550651652,0.024704123417855186
total_token_throughput,tok/s,3,85.05944249277606,85.06388137979695,85.03656448322485,85.0778816153064,0.02101318965195689,0.024704123417857462
mean_ttft_ms,ms,3,73.90361957252026,73.89971189200878,73.39573420584202,74.41541261970997,0.5098504382682235,0.6898856121220378
p50_ttft_ms,ms,3,73.95401721199353,73.9351436495781,73.71442764997482,74.21248033642769,0.2495621728936825,0.3374558709614082
p95_ttft_ms,ms,3,77.87827588617802,77.90502794086933,77.04871408641338,78.68108563125134,0.816514524930093,1.0484496679452164
p99_ttft_ms,ms,3,80.04545949399473,80.14190658926965,79.78839047253132,80.2060814201832,0.22492879668421603,0.2810013186333085
mean_tpot_ms,ms,3,34.961149135404064,34.96347221743873,34.95341437304114,34.96656081573231,0.006874210606526421,0.019662427513188124
p50_tpot_ms,ms,3,34.95909788907357,34.961579147520965,34.95314840491362,34.96256611478611,0.005175982749457754,0.014805824697998005
p95_tpot_ms,ms,3,35.060526957622976,35.06278963539544,35.04970447108971,35.06908676638378,0.009887270894597051,0.02820057698090966
p99_tpot_ms,ms,3,35.163297798885445,35.17874117969997,35.130997960140384,35.18015425681598,0.027981402465774644,0.07957559221496442
mean_itl_ms,ms,3,34.961152557977854,34.96347548161435,34.953417687669514,34.966564504649696,0.006874349412370072,0.019662822617103337
p95_itl_ms,ms,3,35.87775540848573,35.87401956319808,35.85515916347504,35.904087498784065,0.02467717374494296,0.06878126422342008
mean_e2el_ms,ms,3,4513.969559768836,4513.7567058205605,4512.983337268233,4515.168636217713,1.1080897874820124,0.02454801196175453
p50_e2el_ms,ms,3,4513.410872469346,4513.35933059454,4513.275139033794,4513.598147779703,0.16755920185796566,0.0037124739269813437
p95_e2el_ms,ms,3,4527.853242432077,4528.058606386185,4526.646625995636,4528.8544949144125,1.1181690640773772,0.0246953468720812
p99_e2el_ms,ms,3,4537.8191492209835,4538.55285063386,4536.069977283478,4538.834619745612,1.5213646204318532,0.03352633876325875
