repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,100,0,25600.0,12800.0,451.42543905973434,0.22152052442655457,28.354627126598984,85.06388137979695,73.39573420584202,73.71442764997482,77.04871408641338,80.2060814201832,34.96347221743873,34.96256611478611,35.06278963539544,35.17874117969997,34.96347548161435,35.904087498784065,4513.7567058205605,4513.35933059454,4528.8544949144125,4538.834619745612
2,repeat-02.json,100,0,25600.0,12800.0,451.5704536437988,0.22144938667506472,28.345521494408285,85.03656448322485,74.41541261970997,74.21248033642769,78.68108563125134,80.14190658926965,34.96656081573231,34.961579147520965,35.04970447108971,35.130997960140384,34.966564504649696,35.87401956319808,4515.168636217713,4513.598147779703,4528.058606386185,4536.069977283478
3,repeat-03.json,100,0,25600.0,12800.0,451.35115344822407,0.22155698337319374,28.3592938717688,85.0778816153064,73.89971189200878,73.9351436495781,77.90502794086933,79.78839047253132,34.95341437304114,34.95314840491362,35.06908676638378,35.18015425681598,34.953417687669514,35.85515916347504,4512.983337268233,4513.275139033794,4526.646625995636,4538.55285063386
