metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,70.99294839054346,70.8554979711771,70.75339192152023,71.36995527893305,0.33046491003438144,0.46548976697860417
request_throughput,req/s,3,1.4086109024487978,1.4113230851990965,1.4011498201052952,1.4133598020420017,0.006541243473296064,0.4643754681952587
output_throughput,tok/s,3,180.30219551344612,180.64935490548436,179.3471769734778,180.91005466137622,0.8372791645818962,0.4643754681952587
total_token_throughput,tok/s,3,540.9065865403385,541.9480647164531,538.0415309204334,542.7301639841287,2.5118374937456944,0.46437546819525966
mean_ttft_ms,ms,3,408.7640852232774,386.967061907053,382.6780754327774,456.64711833000183,41.523336762221795,10.158264452108282
p50_ttft_ms,ms,3,480.0933214525382,467.6096886396408,456.18023723363876,516.490038484335,32.03433857409974,6.672523266347216
p95_ttft_ms,ms,3,499.1045607874791,486.41486316919327,486.3698620349169,524.5289571583271,22.018184629801205,4.411537453206452
p99_ttft_ms,ms,3,499.69421287377673,487.27982200682163,486.75376042723656,525.0490561872721,21.959513764774087,4.39459037127594
mean_tpot_ms,ms,3,39.855989983153776,39.920835732592366,39.71662480354778,39.93050941332118,0.12079066598735734,0.30306778488857716
p50_tpot_ms,ms,3,39.35381596091538,39.354559503437024,39.34664684017812,39.360241539130996,0.0068277815955091,0.01734973198606757
p95_tpot_ms,ms,3,42.15087128456026,41.94817686468127,41.92044834980345,42.58398863919607,0.3753467727307268,0.8904840191719008
p99_tpot_ms,ms,3,42.2006377388095,42.02432915392353,41.92874070344948,42.648843359055476,0.3910888600830649,0.9267368481576358
mean_itl_ms,ms,3,39.85599222321679,39.92083772723599,39.71662644854211,39.930512493872264,0.12079120266133532,0.30306911438770406
p95_itl_ms,ms,3,40.70117697119713,40.72344750165939,40.640562027692795,40.7395213842392,0.05310575258220604,0.13047719140846276
mean_e2el_ms,ms,3,5470.474813083808,5458.141757398844,5452.624213472009,5500.65846838057,26.284988264244777,0.4804882421061261
p50_e2el_ms,ms,3,5482.633574555318,5471.741687506437,5463.818859308958,5512.340176850557,26.029876423205536,0.4747695805170921
p95_e2el_ms,ms,3,5503.240645055969,5496.814455464482,5486.593133956194,5526.314345747232,20.625605470784087,0.3747901791158965
p99_e2el_ms,ms,3,5504.196192820867,5498.024146705866,5487.121776267886,5527.442655488849,20.856987803183287,0.37892885850230223
