repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,100,0,25600.0,12800.0,71.36995527893305,1.4011498201052952,179.3471769734778,538.0415309204334,456.64711833000183,516.490038484335,524.5289571583271,525.0490561872721,39.71662480354778,39.354559503437024,42.58398863919607,42.648843359055476,39.71662644854211,40.72344750165939,5500.65846838057,5512.340176850557,5526.314345747232,5527.442655488849
2,repeat-02.json,100,0,25600.0,12800.0,70.8554979711771,1.4113230851990965,180.64935490548436,541.9480647164531,386.967061907053,467.6096886396408,486.41486316919327,487.27982200682163,39.93050941332118,39.34664684017812,41.94817686468127,42.02432915392353,39.930512493872264,40.640562027692795,5458.141757398844,5471.741687506437,5496.814455464482,5498.024146705866
3,repeat-03.json,100,0,25600.0,12800.0,70.75339192152023,1.4133598020420017,180.91005466137622,542.7301639841287,382.6780754327774,456.18023723363876,486.3698620349169,486.75376042723656,39.920835732592366,39.360241539130996,41.92044834980345,41.92874070344948,39.92083772723599,40.7395213842392,5452.624213472009,5463.818859308958,5486.593133956194,5487.121776267886
