repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,60,0,61440.0,15360.0,97.30457562953234,0.6166205403170142,157.85485832115563,789.2742916057781,775.607084358732,729.4037565588951,1426.4444150030606,1680.4169208556411,45.16096894160595,45.44648097134104,47.19496811867929,47.21751269610489,45.16096986684145,42.846543341875076,12291.654164468247,12340.97047150135,12811.899599060416,13023.225855380295
2,repeat-02.json,60,0,61440.0,15360.0,97.16255933046341,0.6175218151256353,158.08558467216264,790.4279233608132,781.5307680517435,730.2847988903522,1227.4236064404236,1679.1185725480316,45.07102764022896,45.05124114015523,47.11680131946124,47.16673775747711,45.07102905194355,43.01720671355724,12274.642816310126,12321.129187941551,12788.776909187434,13053.096567019818
3,repeat-03.json,60,0,61440.0,15360.0,97.18331193178892,0.6173899490286237,158.05182695132766,790.2591347566383,780.5536645154159,729.7631129622459,1431.5344791859382,1681.772521138191,45.0834980446334,45.4447665050918,47.14518388842835,47.17818773026559,45.083499655517095,42.680229619145386,12276.845665896932,12327.11073383689,12788.31111676991,13033.939140141008
