repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,100,0,25600.0,12800.0,43.90993083268404,2.2773891487336555,291.5058110379079,874.5174331137238,1447.2327187657356,393.933966755867,5577.892066165805,6022.218509241939,40.82906111194862,40.99413010431087,42.5681524741368,42.79716461779564,40.82906410274074,41.091138869524,6632.523479983211,5578.070614486933,10937.776100263,11069.839901551604
2,repeat-02.json,100,0,25600.0,12800.0,38.44859944283962,2.600874972017303,332.9119964182148,998.7359892546444,769.0187706798315,301.72697082161903,5337.381950393318,5682.518387287855,40.973416944657735,41.0721390911444,42.48402641690153,42.51559466299579,40.97341882490267,40.77593237161636,5972.642722651362,5532.868929207325,10708.202189579606,10944.408464729786
3,repeat-03.json,100,0,25600.0,12800.0,38.38843800872564,2.6049510005400616,333.4337280691279,1000.3011842073837,735.4211161285639,359.52772572636604,5469.013965502381,5720.008501559496,40.77259168615491,40.98818770895793,42.40719545485936,42.512552124543454,40.77259368607847,41.012149304151535,5913.540260270238,5512.1094062924385,10741.813316196201,10959.792956113815
