repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,100,0,25600.0,12800.0,38.142277002334595,2.6217627226051357,335.58562849345736,1006.7568854803721,443.9020197838545,502.5891624391079,522.5688144564629,523.4086173772812,39.747450903762044,39.416158117177915,42.59081768297305,42.69210407701065,39.747450903762044,40.48153683543205,5491.828284561634,5514.157056808472,5533.921820297837,5534.374147802591
2,repeat-02.json,100,0,25600.0,12800.0,38.22900339961052,2.6158149861949793,334.82431823295735,1004.472954698872,452.8244060277939,520.8764150738716,524.6311642229557,525.4089809954166,39.78704796532008,39.47995078023963,42.72108622423307,42.80581155513215,39.78704796532008,40.68331457674503,5505.779497623444,5527.629088610411,5545.5578699707985,5546.36076644063
3,repeat-03.json,100,0,25600.0,12800.0,38.23692359030247,2.615273160348122,334.7549645245596,1004.2648935736789,454.5901280641556,519.784227013588,526.7383642494678,528.3039826899767,39.777703902970146,39.45705805003174,42.70604998753296,42.77717838430499,39.777703902970146,40.655943751335144,5506.3585237413645,5525.200542062521,5543.585992604494,5544.5892187952995
