pod,gpu_physical_index,gpu_uuid,full_run_requests_delta,request_share_percent,prompt_tokens_delta,generation_tokens_delta,max_running,max_waiting,max_kv_cache_percent,max_gpu_util_percent
qwen3-8b-8fc88c5c9-5bmsd,1,GPU-5e5590e5-51de-1c1c-6c72-4cbe1477e116,180,50.000000,46043,23040,8,0,13.524877,100
qwen3-8b-8fc88c5c9-26lgk,2,GPU-d9258c08-1282-5f42-3b0d-c166cbb1455d,180,50.000000,46043,23040,8,0,13.524877,100
