repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,100,0,25600.0,12800.0,38.139650620520115,2.621943263061708,335.6087376718986,1006.8262130156958,374.48870807886124,424.5338439941406,454.5541029423475,1126.9744570553305,40.334102080797585,39.88777098106587,42.42280384041663,42.477625140289625,40.33410522529459,41.02683141827583,5496.919672340155,5490.214247256517,5523.875831067562,6493.854248896241
2,repeat-02.json,100,0,25600.0,12800.0,38.16921081393957,2.6199126957971983,335.3488250620414,1006.0464751861242,363.36525797843933,400.45981481671333,456.0409177094698,1213.5979031771421,40.548745075196734,40.0191270342962,42.43840535325328,42.50368426634571,40.5487466245655,40.801069140434265,5513.055882528424,5494.280520826578,5527.425189688802,6526.782075613737
3,repeat-03.json,100,0,25600.0,12800.0,38.29037617146969,2.6116222925621293,334.28765344795255,1002.8629603438577,411.5478901565075,463.9831818640232,521.2380032986403,528.9516577124626,40.17424367954881,39.71585954033484,42.44114628105652,42.7455572871946,40.174245531047426,40.77657125890255,5513.676837459207,5515.833951532841,5542.561469599605,5554.620439931755
