repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,60,0,61440.0,7680.0,55.26831782609224,1.085612921833382,138.9584539946729,1250.6260859520562,721.2136613825957,528.2838381826878,1488.3166454732418,1750.3351636976004,49.65787534931984,49.844371873562736,53.146927838954404,53.229596991473294,49.657877551249946,44.71718519926071,7027.763830746213,7062.97304853797,7387.43598125875,7862.145257666707
2,repeat-02.json,60,0,61440.0,7680.0,55.25005476176739,1.0859717743034625,139.0043871108432,1251.0394839975888,718.9524999509255,629.1910894215107,1464.013822004199,1723.9754540473223,49.65252139730248,49.83082883001312,53.17920497728614,53.29221433893902,49.652523716564566,43.09990331530571,7024.8227174083395,7060.258865356445,7354.942444339394,7809.409378767014
3,repeat-03.json,60,0,61440.0,7680.0,55.15870851278305,1.0877702110464567,139.23458701394645,1253.111283125518,769.6253344416618,732.0039682090282,1229.0358550846565,1667.443820312619,49.15766262710877,49.64700482023044,53.056191259951106,53.179838058986064,49.157664875971676,43.14323849976062,7012.6484880844755,7047.345884144306,7343.761021643877,7714.680867344139
