repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,100,0,25600.0,12800.0,250.56386155635118,0.3990998517458203,51.084781023465,153.25434307039498,134.9062441289425,116.25374853610992,168.47510375082493,169.1220572590828,38.389522672638186,38.31049618054563,38.72851823845247,38.75330109178551,38.38952591628071,39.211295545101166,5010.375623553991,5011.07544451952,5025.727482885122,5037.367589473724
2,repeat-02.json,100,0,25600.0,12800.0,250.71249498426914,0.3988632477462859,51.054495711524595,153.16348713457378,134.89927127957344,110.37524417042732,168.95843632519245,170.33468902111053,38.413134112836815,38.329016035936014,38.718977022006754,38.75653950130846,38.41313898270055,39.11837935447693,5013.367303609848,5015.143282711506,5025.239240005612,5030.723712742329
3,repeat-03.json,100,0,25600.0,12800.0,250.87824479490519,0.398599727456443,51.020765114424705,153.06229534327412,135.1508354395628,110.28999462723732,168.88443008065224,170.40884464979172,38.437834900077874,38.2981979412826,38.74666662080081,38.75508707926029,38.437837760044836,39.21574614942074,5016.755867749453,5017.954833805561,5027.426208928227,5030.097561106086
