metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,250.71820044517517,250.71249498426914,250.56386155635118,250.87824479490519,0.1572692575935873,0.06272749936555864
request_throughput,req/s,3,0.3988542756495164,0.3988632477462859,0.398599727456443,0.3990998517458203,0.0002501828333371734,0.06272537330326014
output_throughput,tok/s,3,51.0533472831381,51.054495711524595,51.020765114424705,51.084781023465,0.032023402667158196,0.06272537330326014
total_token_throughput,tok/s,3,153.16004184941428,153.16348713457378,153.06229534327412,153.25434307039498,0.09607020800146761,0.0627253733032556
mean_ttft_ms,ms,3,134.9854502826929,134.9062441289425,134.89927127957344,135.1508354395628,0.14327017394328462,0.10613749381377137
p50_ttft_ms,ms,3,112.3063291112582,110.37524417042732,110.28999462723732,116.25374853610992,3.4188312268853123,3.0442017417365577
p95_ttft_ms,ms,3,168.77265671888986,168.88443008065224,168.47510375082493,168.95843632519245,0.26033163015839944,0.15424988574542114
p99_ttft_ms,ms,3,169.95519697666168,170.33468902111053,169.1220572590828,170.40884464979172,0.7224722182007051,0.42509569054244056
mean_tpot_ms,ms,3,38.41349722851763,38.413134112836815,38.389522672638186,38.437834900077874,0.024158160521742234,0.06288977121251944
p50_tpot_ms,ms,3,38.31257005258808,38.31049618054563,38.2981979412826,38.329016035936014,0.01551336354415198,0.040491576323014186
p95_tpot_ms,ms,3,38.73138729375335,38.72851823845247,38.718977022006754,38.74666662080081,0.014065990156527533,0.03631677339581408
p99_tpot_ms,ms,3,38.754975890784756,38.75508707926029,38.75330109178551,38.75653950130846,0.0016220654171158451,0.004185437817551432
mean_itl_ms,ms,3,38.413500886342035,38.41313898270055,38.38952591628071,38.437837760044836,0.024157955059495397,0.06288923035412475
p95_itl_ms,ms,3,39.18180701633295,39.211295545101166,39.11837935447693,39.21574614942074,0.054975023293247764,0.1403075240259629
mean_e2el_ms,ms,3,5013.499598304431,5013.367303609848,5010.375623553991,5016.755867749453,3.192178787770251,0.06367166736883449
p50_e2el_ms,ms,3,5014.724520345529,5015.143282711506,5011.07544451952,5017.954833805561,3.458759991180913,0.06897208365381145
p95_e2el_ms,ms,3,5026.130977272987,5025.727482885122,5025.239240005612,5027.426208928227,1.1479608259430996,0.022839850993416514
p99_e2el_ms,ms,3,5032.72962110738,5030.723712742329,5030.097561106086,5037.367589473724,4.028781378196574,0.08005161575340299
