repeat,file,completed,failed,total_input_tokens,total_output_tokens,duration,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
1,repeat-01.json,60,0,15360.0,15360.0,84.12802901118994,0.7131986890126637,182.5788643872419,365.1577287744838,446.39890889326733,509.6426531672478,519.911977276206,520.1739211380482,39.579542378584556,39.43882597719922,41.03605001142212,41.082809484764645,39.579543872109426,40.59586189687252,10539.182215432327,10566.253863275051,10593.70494261384,10594.754496440291
2,repeat-02.json,60,0,15360.0,15360.0,84.05566703528166,0.7138126686308433,182.73604316949587,365.47208633899174,438.42713832855225,499.8791217803955,525.7771320641041,526.1002249270678,39.577276695495335,39.43719641835082,41.04129618873784,41.0953718429687,39.577277643618245,40.76646976172924,10530.632695679862,10576.98817923665,10595.715102925897,10596.352873817086
3,repeat-03.json,60,0,15360.0,15360.0,84.0987750440836,0.7134467769423359,182.642374897238,365.284749794476,440.5924528837204,511.1773833632469,525.2207294106483,525.5170385539532,39.58793173574544,39.46218684900041,41.06062669380038,41.09251900397095,39.58793299552662,40.906983986496925,10535.515045498809,10576.850861310959,10591.542563587427,10591.828330531716
