metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,41.84325713912646,41.90754086524248,41.694942869246006,41.92728768289089,0.1288228480877478,0.30787002947552367
request_throughput,req/s,3,2.389886443593747,2.386205392522532,2.3850815429877334,2.398372395270975,0.007370501431069883,0.3084038344510892
output_throughput,tok/s,3,305.9054647799996,305.4342902428841,305.2904375024299,306.9916665946848,0.943424183176945,0.3084038344510892
total_token_throughput,tok/s,3,917.7163943399988,916.3028707286525,915.8713125072896,920.9749997840544,2.8302725495308394,0.30840383445108965
mean_ttft_ms,ms,3,670.4760156571865,673.0623205006123,661.6747608035803,676.690965667367,7.83507062413278,1.1685832813054482
p50_ttft_ms,ms,3,553.5280207792918,555.3112961351871,549.5092123746872,555.763553828001,3.487728487119908,0.6300906830714122
p95_ttft_ms,ms,3,961.0346478720506,976.837919652462,916.9648438692093,989.3011800944805,38.67097016946992,4.023889279652533
p99_ttft_ms,ms,3,975.876829052965,978.8313148170711,957.4496649205687,991.3495074212551,17.141953505670397,1.7565693738528172
mean_tpot_ms,ms,3,42.565167141085844,42.61906308803971,42.45733328339622,42.619105051821606,0.09338686250436846,0.21939738235921832
p50_tpot_ms,ms,3,43.351830743507456,43.515812576286436,42.89199837197469,43.647681282261225,0.4036479856706207,0.9310979000144594
p95_tpot_ms,ms,3,46.62851304734942,46.76835426371398,46.2738084364829,46.843376441851376,0.30946502634481254,0.6636819536376014
p99_tpot_ms,ms,3,47.31835327866509,47.34310812250836,47.259231139942415,47.3527205735445,0.051426357727222406,0.1086816302003678
mean_itl_ms,ms,3,42.56516899258446,42.61906448839687,42.45733586528639,42.61910662407011,0.09338622998609054,0.21939588681618985
p95_itl_ms,ms,3,42.02299751341343,41.992756351828575,41.58861115574836,42.487625032663345,0.45026923458296464,1.0714829051384114
mean_e2el_ms,ms,3,6076.252242575089,6085.688662081957,6053.7560877949,6089.311977848411,19.566293445784,0.32201252786523377
p50_e2el_ms,ms,3,6116.33147423466,6130.620446056128,6083.694353699684,6134.67962294817,28.337350914846507,0.46330633050577713
p95_e2el_ms,ms,3,6155.42323179543,6152.403065189719,6143.540135398507,6170.326494798064,13.64618324716656,0.22169366318595457
p99_e2el_ms,ms,3,6181.420796463889,6178.615515008571,6176.504854932429,6189.142019450666,6.769540959172315,0.1095143201227275
